  ───────────────────────────────────────────────────────────────────────────────────
  │Icon        │Address          │Opcode   │Instruction                      
  ───────────────────────────────────────────────────────────────────────────────────
  │            │0000000000000000 │         │                                 
  ├───         │00007FF838E51030 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51083 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51084 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51085 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51086 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51087 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51088 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51089 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5108A │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5108B │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5108C │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5108D │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5108E │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E5108F │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51090 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51091 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  ├───         │00007FF838E51092 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
  └───         │00007FF838E51093 │01 02 03 │mov qword ptr ss:[rsp+0x18], rsi 
