  ───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  │Address                  │Size │Level        │PageInfo                                            │AssignmentType │PageProtection 
  ├───1110198845473         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845474         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845475         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845476         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845477         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845478         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845479         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845480         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845481         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845482         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845483         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845484         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845485         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845486         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845487         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845488         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845489         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845490         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845491         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845492         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845493         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845494         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845495         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845496         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845497         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845498         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845499         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845500         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845501         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845502         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845503         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845504         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845505         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845506         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845507         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845508         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845509         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845510         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845511         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845512         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845513         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845514         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845515         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845516         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845517         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845518         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845519         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845520         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845521         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845522         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845523         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845524         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845525         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845526         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845527         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845528         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845529         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845530         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845531         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845532         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845533         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845534         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845535         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845536         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845537         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  ├───1110198845538         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
  └───1110198845539         │4608 │用户模块         │\Device\HarddiskVolume3\Windows\System32\C_1252.NLS │MAP            │-R---          
